topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0288853
all, all, 1, precision, 13897, 0.3181982
all, all, 1, recall, 28749, 0.1538140
all, all, 1, f1, 38224, 0.2073817
FOOD, INFO, 1, acc, 1720, 0.0000000
FOOD, INFO, 1, precision, 0, -
FOOD, INFO, 1, recall, 1945, 0.0000000
FOOD, INFO, 1, f1, 1945, -
FOOD, CUISINE, 1, acc, 1053, 0.1785375
FOOD, CUISINE, 1, precision, 876, 0.2808219
FOOD, CUISINE, 1, recall, 673, 0.3655275
FOOD, CUISINE, 1, f1, 1303, 0.3176243
FOOD, TYPE_OF_PLACE, 1, acc, 469, 0.1449893
FOOD, TYPE_OF_PLACE, 1, precision, 220, 0.3727273
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.2169312
FOOD, TYPE_OF_PLACE, 1, f1, 516, 0.2742475
FOOD, DRINK, 1, acc, 357, 0.0952381
FOOD, DRINK, 1, precision, 323, 0.1640867
FOOD, DRINK, 1, recall, 112, 0.4732143
FOOD, DRINK, 1, f1, 382, 0.2436782
FOOD, PLACE, 1, acc, 741, 0.0296896
FOOD, PLACE, 1, precision, 321, 0.0841121
FOOD, PLACE, 1, recall, 527, 0.0512334
FOOD, PLACE, 1, f1, 821, 0.0636792
FOOD, MEAL_TIME, 1, acc, 150, 0.0466667
FOOD, MEAL_TIME, 1, precision, 160, 0.2062500
FOOD, MEAL_TIME, 1, recall, 46, 0.7173913
FOOD, MEAL_TIME, 1, f1, 173, 0.3203883
FOOD, DISH, 1, acc, 1879, 0.0979244
FOOD, DISH, 1, precision, 1656, 0.2161836
FOOD, DISH, 1, recall, 1865, 0.1919571
FOOD, DISH, 1, f1, 3163, 0.2033513
FOOD, NEIGHBOURHOOD, 1, acc, 369, 0.2710027
FOOD, NEIGHBOURHOOD, 1, precision, 162, 0.6172840
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.3225806
FOOD, NEIGHBOURHOOD, 1, f1, 372, 0.4237288
FOOD, all, 1, acc, 2683, 0.0286992
FOOD, all, 1, precision, 3718, 0.2417967
FOOD, all, 1, recall, 5856, 0.1535178
FOOD, all, 1, f1, 8675, 0.1878003
ATTRACTION, INFO, 1, acc, 4204, 0.0000000
ATTRACTION, INFO, 1, precision, 0, -
ATTRACTION, INFO, 1, recall, 4948, 0.0000000
ATTRACTION, INFO, 1, f1, 4948, -
ATTRACTION, TYPE_OF_PLACE, 1, acc, 2297, 0.1754462
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1641, 0.2784887
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.3292507
ATTRACTION, TYPE_OF_PLACE, 1, f1, 2572, 0.3017498
ATTRACTION, ACTIVITY, 1, acc, 2275, 0.0791209
ATTRACTION, ACTIVITY, 1, precision, 1723, 0.1346489
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.1881590
ATTRACTION, ACTIVITY, 1, f1, 2724, 0.1569689
ATTRACTION, PLACE, 1, acc, 3925, 0.1103185
ATTRACTION, PLACE, 1, precision, 814, 0.6130221
ATTRACTION, PLACE, 1, recall, 3987, 0.1251568
ATTRACTION, PLACE, 1, f1, 4302, 0.2078734
ATTRACTION, TIME, 1, acc, 560, 0.1482143
ATTRACTION, TIME, 1, precision, 631, 0.2440571
ATTRACTION, TIME, 1, recall, 300, 0.5133333
ATTRACTION, TIME, 1, f1, 777, 0.3308271
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1941, 0.3147862
ATTRACTION, NEIGHBOURHOOD, 1, precision, 979, 0.6966292
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.3700488
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2140, 0.4833451
ATTRACTION, all, 1, acc, 5949, 0.0290805
ATTRACTION, all, 1, precision, 5788, 0.3496890
ATTRACTION, all, 1, recall, 13699, 0.1477480
ATTRACTION, all, 1, f1, 17463, 0.2077282
TRANSPORTATION, INFO, 1, acc, 1132, 0.0000000
TRANSPORTATION, INFO, 1, precision, 0, -
TRANSPORTATION, INFO, 1, recall, 1195, 0.0000000
TRANSPORTATION, INFO, 1, f1, 1195, -
TRANSPORTATION, FROM, 1, acc, 1179, 0.0458015
TRANSPORTATION, FROM, 1, precision, 829, 0.0820265
TRANSPORTATION, FROM, 1, recall, 1055, 0.0644550
TRANSPORTATION, FROM, 1, f1, 1816, 0.0721868
TRANSPORTATION, TO, 1, acc, 1194, 0.0737018
TRANSPORTATION, TO, 1, precision, 801, 0.1298377
TRANSPORTATION, TO, 1, recall, 1081, 0.0962072
TRANSPORTATION, TO, 1, f1, 1778, 0.1105207
TRANSPORTATION, STATION, 1, acc, 325, 0.0953846
