task, subtask, schedule, stat, N, result
SLU, speech_act, all, precision, 2266, 0.369373345102
SLU, speech_act, all, recall, 4579, 0.182791002402
SLU, speech_act, all, f1, 6008, 0.244558071585
SLU, speech_act, act, precision, 2235, 0.479642058166
SLU, speech_act, act, recall, 4093, 0.261910579037
SLU, speech_act, act, f1, 5256, 0.338811630847
SLU, semantic_tagged, detection, precision, 1042, 0.777351247601
SLU, semantic_tagged, detection, recall, 2061, 0.393013100437
SLU, semantic_tagged, detection, f1, 2293, 0.522075410893
SLU, semantic_tagged, all, precision, 1042, 0.525911708253
SLU, semantic_tagged, all, recall, 2061, 0.265890344493
SLU, semantic_tagged, all, f1, 2555, 0.353206574283
SLU, semantic_tagged, class, precision, 1042, 0.68330134357
SLU, semantic_tagged, class, recall, 2061, 0.345463367297
SLU, semantic_tagged, class, f1, 2391, 0.45891073155
