task, subtask, schedule, stat, N, result
SLU, speech_act, all, precision, 7772, 0.530494081318
SLU, speech_act, all, recall, 10389, 0.396862065646
SLU, speech_act, all, f1, 14038, 0.454049887121
SLU, speech_act, act, precision, 7630, 0.807994757536
SLU, speech_act, act, recall, 8562, 0.720042046251
SLU, speech_act, act, f1, 10027, 0.76148715415
SLU, semantic_tagged, detection, precision, 7282, 0.76201592969
SLU, semantic_tagged, detection, recall, 10663, 0.520397636688
SLU, semantic_tagged, detection, f1, 12396, 0.618445249373
SLU, semantic_tagged, all, precision, 7282, 0.46663004669
SLU, semantic_tagged, all, recall, 10663, 0.318672043515
SLU, semantic_tagged, all, f1, 14547, 0.378712733352
SLU, semantic_tagged, class, precision, 7282, 0.625652293326
SLU, semantic_tagged, class, recall, 10663, 0.427271874707
SLU, semantic_tagged, class, f1, 13389, 0.507773753135
